번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
229,등록체육시설업,10_31_03_P,6480000,3.02E+14,20060228,,1,영업/정상,1,영업,,,,,,0,,경상남도 창원시 의창구 봉림동 산 50번지,경상남도 창원시 의창구 대봉로 103 (봉림동),,창원 CC,2.01E+13,I,59:59.0,,351401.4432,196909.7569,골프장,,,,10,7782,1474,회원제,
230,등록체육시설업,10_31_03_P,6480000,3.02E+14,20060228,,1,영업/정상,1,영업,,,,,,0,,경상남도 창원시 진해구 용원동 산 39번지,경상남도 창원시 진해구 가주로 133 (용원동),,용원 CC,2.01E+13,I,59:59.0,,366135.0149,180601.0361,골프장,,,,22,8348,1113,회원제,
231,등록체육시설업,10_31_03_P,6480000,3.02E+14,20060228,,1,영업/정상,1,영업,,,,,,0,,경상남도 진주시 진성면 상촌리 산 1번지,경상남도 진주시 진성면 진성로464번길 82,,진주 CC,2.02E+13,I,59:59.0,,312263.7094,187319.0742,골프장,,,,5,5199,512,회원제,진주개발(주)
232,등록체육시설업,10_31_03_P,6480000,3.02E+14,20060228,,1,영업/정상,1,영업,,,,,,0,,경상남도 양산시 웅상읍 매곡리 131번지,경상남도 양산시 매곡외산로 282 (매곡동),,동부산 CC,2.01E+13,I,59:59.0,,398290.6965,208862.3124,골프장,,,,5,6447,512,회원제,(주)동부산컨트리클럽
233,등록체육시설업,10_31_03_P,6480000,3.02E+14,20060228,,1,영업/정상,1,영업,,,,,,0,,경상남도 창녕군 부곡면 거문리 산 263번지,경상남도 창녕군 부곡면 온천로 445,,부곡 CC,2.02E+13,U,40:00.0,,342928.8774,217519.1432,골프장,,,,10,7782,944,회원제,현일개발(주)
234,등록체육시설업,10_31_03_P,6480000,3.02E+14,20060228,,1,영업/정상,1,영업,,,,,,0,,경상남도 양산시 하북면 답곡리 233번지,경상남도 양산시 하북면 신평남부길 29-12,,통도 파인이스트 컨트리클럽,2.01E+13,I,59:59.0,,389518.1151,222157.3942,골프장,,,,5,10357,2986,회원제,(주)동일리조트
235,등록체육시설업,10_31_03_P,6480000,3.02E+14,20060228,,1,영업/정상,1,영업,,,,,,0,,경상남도 김해시 삼방동 산 1번지,경상남도 김해시 인제로 495 (삼방동),,가야 CC,2.01E+13,I,59:59.0,,372123.4276,198925.6065,골프장,,,,13,13019,2058,회원제,가야개발(주)
236,등록체육시설업,10_31_03_P,6480000,3.02E+14,20060228,,1,영업/정상,1,영업,,,,,,0,,경상남도 양산시 웅상읍 매곡리 산 1번지,경상남도 양산시 덕명로 190 (매곡동),,에이원 CC,2.02E+13,I,59:59.0,,397656.9204,210788.5194,골프장,,,,,8162,729,회원제,에이원컨트리클럽(주)
237,등록체육시설업,10_31_03_P,6480000,3.02E+14,20060228,,1,영업/정상,1,영업,,,,,,0,,경상남도 김해시 주촌면 내삼리 산 180번지,경상남도 김해시 주촌면 서부로1637번길 299-194,,김해 정산 CC,2.01E+13,I,59:59.0,,365211.9374,196951.7834,골프장,,,,9,8346,250,회원제,정산개발(주)
238,등록체육시설업,10_31_03_P,6480000,3.02E+14,20060228,,1,영업/정상,1,영업,,,,,,0,,경상남도 김해시 삼방동 7번지 7호,경상남도 김해시 인제로 495 (삼방동),,가야 CC(대중),2.01E+13,I,59:59.0,,371929.3288,198497.3872,골프장,,,,1,1029,,일반대중,가야개발(주)
239,등록체육시설업,10_31_03_P,6480000,3.02E+14,20070129,,1,영업/정상,1,영업,,,,,,0,,경상남도 양산시 하북면 답곡리 233번지,경상남도 양산시 하북면 신평남부길 29-12,,통도c.c,2.01E+13,I,59:59.0,,389518.1151,222157.3942,골프장,,,,11,10869.03,,회원제,(주)동일리조트
240,등록체육시설업,10_31_03_P,6480000,3.02E+14,20070226,,1,영업/정상,1,영업,,,,,,0,,경상남도 함안군 칠원면 운곡리 산 104번지,경상남도 함안군 칠원면 운무로 470,,레이크힐스 경남C.C,2.02E+13,U,59:59.0,,343089.6656,202618.7095,골프장,,,,8,8353.45,300,회원제,(주)레이크힐스 함안
241,등록체육시설업,10_31_03_P,6480000,3.02E+14,20070317,,1,영업/정상,1,영업,,,,,,0,,경상남도 남해군 남면 덕월리 311번지 1호,경상남도 남해군 남면 남서대로1179번길 40-109,,남해 선베이컨트리클럽,2.01E+13,I,59:59.0,,277863.9769,142667.8691,골프장,,,,5,3586.77,,일반대중,에머슨퍼시픽(주)
242,등록체육시설업,10_31_03_P,6480000,3.02E+14,20070914,,1,영업/정상,1,영업,,,,,,,,경상남도 합천군 가야면 성기리 산 105번지,경상남도 합천군 가야면 가조가야로 1916-35,,아델스코트 컨트리클럽,2.02E+13,U,40:00.0,,298398.4504,245573.47,골프장,,,,9,8294.95,0,없음,
